Column1,timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,EDA,HR,TEMP
46,1637325576,1637325592,When You Wish Upon A Star,Gregory Porter,spotify:track:5O7SbGz8Ds4SmUwPYXAbUT,contemporary jazz,0.327,0.278,2,-10.951,1,0.0308,0.874,0.0000103,0.154,0.176,117.451,4,0.002000064,-1.437440476,0.011481389
47,1637325607,1637325622,Unknown,Unknown,spotify:track:0iDA10hMJudSG6tTmk1OXw,indie viet,0.791,0.598,9,-7,1,0.0465,0.675,0.0000252,0.177,0.194,119.998,4,0.003083851,0.109333337,-0.052159722
48,1637325638,1637325653,Tranceform - Original Mix,Addictive Glance,spotify:track:701GWMf63hvtH8GkbNetuD,glitter trance,0.741,0.76,1,-7.104,1,0.0884,0.000119,0.185,0.254,0.399,130.018,4,-0.001463234,0.49537698,0.004938657
49,1637325668,1637325683,Rave Is Our Religion,Olly James,spotify:track:4JvKkCRqWRbuhQsdUvY68P,deep techno,0.568,0.962,7,-5.616,1,0.13,0.000522,0.182,0.0467,0.151,145.942,4,0.006370165,0.686815462,0.003702778
50,1637325699,1637325714,Merry Christmas Mr. Lawrence (Arr. for Piano),Ryuichi Sakamoto,spotify:track:2PQhVL9vF3LnfuKwJ6LztE,contemporary classical,0.403,0.185,10,-20.519,0,0.0417,0.962,0.911,0.0958,0.162,104.517,3,0.00774131,2.153267856,-0.03661125
51,1637325729,1637325745,Technopat - Oblomov Remix,Tektoys,spotify:track:76i4Qvz1L2oXtBXDLAnl9M,somatik techno,0.748,0.868,11,-5.354,1,0.0591,0.0000142,0.774,0.0977,0.586,120.023,4,0.004576041,-1.616930516,0.011241435
52,1637325760,1637325775,That's All for Now (Piano),Beach Fossils,spotify:track:7yE795Dx1OqWWKGCDFu38y,popgaze,0.46,0.302,0,-11.89,1,0.0265,0.673,0.022,0.147,0.184,68.937,4,-0.030601381,-2.662619053,0.018377639
53,1637325791,1637325806,Dust and Tide,Northern Soul,spotify:track:7CsIACqUdVmjofFdyl9WR0,northern soul,0.376,0.4,9,-9.658,0,0.0313,0.829,0.000458,0.142,0.277,78.861,4,-0.003938407,1.608559516,-0.004221945
54,1637325821,1637325837,Flow with It (You Got Me Feeling Like),St. Paul & The Broken Bones,spotify:track:2eM4Ew20VXdjBhm6a6Cs9l,soul flow,0.61,0.752,10,-5.062,0,0.0389,0.294,0.0755,0.116,0.832,89.995,4,0.003587548,0.72764881,0.00720375
55,1637325852,1637325867,I've Never Been to Me,Ronnie Aldrich,spotify:track:1iI3AdoaionwreBhAZQr4m,ballroom,0.511,0.151,0,-18.821,1,0.0324,0.9,0.811,0.153,0.231,132.879,4,0.002260283,-0.957277778,0.003736111
56,1637325882,1637325898,Mein Skateboard ist wichtiger als Deutschland,Terrorgruppe,spotify:track:74YWx1id0D9H2OunPHIe0Q,punk ska,0.319,0.896,1,-6.26,0,0.0708,0.000967,0.00000165,0.0613,0.366,142.365,4,-0.001028585,-0.955424602,0.005615463
57,1637325913,1637325928,Go'natt Alfons - Pt. 2,Alfons ?berg,spotify:track:77wgiH3ItMT09sPZG8YIdA,barnmusik,0.619,0.122,2,-19.234,1,0.912,0.348,0,0.114,0.187,170.246,4,-0.004833984,-0.013265902,0.003222407
58,1637325944,1637325959,Unlock Creativity,Singing Bowls,spotify:track:0emGdwvZJSOWw2R49rsJad,singing bowl,0.139,0.0335,6,-29.45,1,0.0447,0.977,0.987,0.11,0.0251,143.119,4,0.008641603,1.226934469,0.014723611
59,1637325975,1637325990,"Punky Reggae Party, Love & Unity, New Wave Chant",Damian Marley,spotify:track:5vvzieRxoVgiOL5TN7aPfY,modern reggae,0.502,0.723,5,-9.838,0,0.183,0.243,0,0.859,0.961,151.531,4,-0.00401235,0.338111113,0.000800926
60,1637326005,1637326021,Yo Te Encontrar? (Banda Sonora Original),Lin Cort?s,spotify:track:4xEiwJkhRDki8Qyq4s13fd,flamenco,0.825,0.478,0,-7.592,0,0.0372,0.643,0,0.106,0.519,129.923,4,-5.39169E-05,-0.840537713,0.010361991
