name,artist,uri,url,genre,danceability,energy,valence,acousticness
The Other Side,Hugh Jackman,spotify:track:2cKovq3l6OJjhVVDbVKOsr,https://p.scdn.co/mp3-preview/9de3aed975d874b924f75c9749e5417bdc68c4a4?cid=044f973e13634ba3becdcb523d0f964f,hollywood,0.638,0.795,0.31,0.00433
All I Want (For Christmas),Liam Payne,spotify:track:1BPgtKyziVZ18vxsSN6DNS,,post teen pop,0.582,0.257,0.302,0.809
Esa Sangre Aragonesa,Pastor De Andorra,spotify:track:3n3o1DVr2iomEpNcEfxrQr,https://p.scdn.co/mp3-preview/6d667491e9900ae67315d134ee4e981248037c86?cid=044f973e13634ba3becdcb523d0f964f,jota aragonesa,0.374,0.411,0.378,0.88
Find Your Paradise (UpOnly 452) [FAN FAVORITE 445] - Metta & Glyde Remix - Mix Cut,Ferry Tayle,spotify:track:1mrP9Evb6jkA0JmWjclXxE,https://p.scdn.co/mp3-preview/0e9ef5a9c5a9d37150320fb3b88f89ac37a3a46f?cid=044f973e13634ba3becdcb523d0f964f,deep uplifting trance,0.518,0.904,0.126,0.0031
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,spotify:track:2hrUO4drrO63i7FYbCLBl2,https://p.scdn.co/mp3-preview/6bd786feffe370eba207cf5992256a7c5bad8eac?cid=044f973e13634ba3becdcb523d0f964f,funk rock,0.717,0.73,0.792,0.383
Izibongo Ze Bearings,DJ Tira,spotify:track:3y8g41KrTas7Or6lByxGCh,https://p.scdn.co/mp3-preview/5a03dc49a2ff26618fc90436e7c962b4c0c9711f?cid=044f973e13634ba3becdcb523d0f964f,african rock,0.921,0.409,0.189,0.058
Indie Cindy - Live in the USA 2014,Pixies,spotify:track:4TcaykCeaeirWAiYQCAxBf,https://p.scdn.co/mp3-preview/54e4b9e90b3f72b6f1b2b76a386006646c6e8350?cid=044f973e13634ba3becdcb523d0f964f,boston indie,0.285,0.889,0.537,0.00708
Dwelling Place Of The Radiant Mind,Inlakesh,spotify:track:02PPoB57xwEzlIaaQ2FGOt,https://p.scdn.co/mp3-preview/f1cd8eb0207dd28dc152f8f1af772c8fd800583a?cid=044f973e13634ba3becdcb523d0f964f,didgeridoo,0.43,0.238,0.0389,0.758
It Ain't My Baby (And I Ain't Gonna Rock It),Rudy Grayzell,spotify:track:5r3W6DuKTuNz5Y9Eu2VjRt,https://p.scdn.co/mp3-preview/c223d6f0196c8326ea0dd3e918e31729e1b79f3a?cid=044f973e13634ba3becdcb523d0f964f,vintage rockabilly,0.776,0.49,0.83,0.724
Off On Your Own (Girl),Al B. Sure!,spotify:track:1OKM5lZAhHIJ4ipmKy3UK1,https://p.scdn.co/mp3-preview/0c3cb980afea119660e5e0b306106d7a082e029f?cid=044f973e13634ba3becdcb523d0f964f,new jack swing,0.693,0.535,0.666,0.00299
Onde os Fracos Não Tem Vez,JAX MAROMBA,spotify:track:6icmotlDE5j380FIJYSCJw,https://p.scdn.co/mp3-preview/41fe7371f24b579b4e0ede3afd12fdcb7f6044a3?cid=044f973e13634ba3becdcb523d0f964f,rap maromba,0.562,0.511,0.434,0.37
Schatten und Geister,Brojanowski,spotify:track:3pxvg0OUB6P6Mxdhb3wT74,https://p.scdn.co/mp3-preview/876d21bbdec4b86865d31882ca0565a53efd230e?cid=044f973e13634ba3becdcb523d0f964f,psytech,0.696,0.626,0.201,0.0293
April Skies,The Jesus and Mary Chain,spotify:track:12ENeQZr4qJkcFFhY8aV2D,https://p.scdn.co/mp3-preview/7183519daecd5b4cf5958a6c6805d1a2a89dbdaf?cid=044f973e13634ba3becdcb523d0f964f,uk pop punk,0.554,0.636,0.637,0.0132
Amor Imposible,Maihuen de los Angeles,spotify:track:1jj3R15xxBp98ymVOUjjf2,https://p.scdn.co/mp3-preview/f6829d85dbb46fb8a86ff68a5f031ac8731a8e56?cid=044f973e13634ba3becdcb523d0f964f,cueca chilena,0.33,0.59,0.824,0.575
Interstellar Lifeline,Celestial Aeon Project,spotify:track:6wTnvBDq5jzo5MTrNQHfL4,https://p.scdn.co/mp3-preview/0e825bb4c1a63849a1670235519c409b94db519d?cid=044f973e13634ba3becdcb523d0f964f,commons,0.348,0.329,0.0426,0.515
Chica de ayer,Nacha Pop,spotify:track:1Ea5h5OoL92PqRoZHHDKDC,https://p.scdn.co/mp3-preview/a698c55c0b27ddd6afb27f2d130b8d320ab26b10?cid=044f973e13634ba3becdcb523d0f964f,new wave pop,0.674,0.854,0.684,0.0579
Šok Ir Negalvok,Deividas Bastys,spotify:track:6NXI2x0iAsabn4ZKNaWQuF,https://p.scdn.co/mp3-preview/ace82b3e608096d6567b5fe9393b1cd8842703c0?cid=044f973e13634ba3becdcb523d0f964f,vaikiskos dainos,0.779,0.725,0.856,0.288
If Only,RHEA,spotify:track:0WxYtxNo8OwPYQOAMJHGO5,,belgian indie,0.382,0.888,0.513,7.9e-05
Undenied,Portishead,spotify:track:25G1w3E4OMrovtPE5F510g,,laboratorio,0.241,0.281,0.0321,0.45
Inevitable,La Firma,spotify:track:51D8B3kIuGHaCl4219Wbp1,https://p.scdn.co/mp3-preview/97e650c2bfdab1b0249477d8b4d59ed8649593a8?cid=044f973e13634ba3becdcb523d0f964f,tejano,0.555,0.878,0.893,0.0547
Ever New - Reworked by Bon Iver & Flock of Dimes Single Version,Beverly Glenn-Copeland,spotify:track:02BFhF6HybAE3vjBX9ptjS,https://p.scdn.co/mp3-preview/1c34c15e3ff435a07ae65cbc6546f92f7d3e1afb?cid=044f973e13634ba3becdcb523d0f964f,transpop,0.344,0.373,0.0931,0.946
Idjé Tchina,Samba Touré,spotify:track:35Og5kyeK5vWWtpkBAudLj,https://p.scdn.co/mp3-preview/16e41136dec2586b6ca9508ecb95b81098864bff?cid=044f973e13634ba3becdcb523d0f964f,desert blues,0.693,0.55,0.789,0.483
"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",Edvard Grieg,spotify:track:69qzE1lw20pKnTB5OqjOEz,https://p.scdn.co/mp3-preview/acaa4828db42f1f19b35a1fa37c005506e8bf416?cid=044f973e13634ba3becdcb523d0f964f,norwegian choir,0.12,0.112,0.0348,0.977
Demons and Diamonds,Penny Baltatzi,spotify:track:6buNveTO56NLjlZdAW3xSG,https://p.scdn.co/mp3-preview/49066fe44a7b9e779c879cfef9d3b1d4fe459327?cid=044f973e13634ba3becdcb523d0f964f,greek swing,0.649,0.513,0.403,0.748
Alone in the Dark,Nordheim,spotify:track:6qXiG4Rsc3IG7ItlSYSKP6,https://p.scdn.co/mp3-preview/154df2907e34c71b538588cb4968398a6843e58b?cid=044f973e13634ba3becdcb523d0f964f,brazilian power metal,0.297,0.575,0.0829,0.565
"10 Preludes, Op. 23: No. 5 in G Minor",Sergei Rachmaninoff,spotify:track:5DaelB4O54aO428ApDbuoe,https://p.scdn.co/mp3-preview/b04cf42870f30b81d77c6a80c912ab2c5bb662c3?cid=044f973e13634ba3becdcb523d0f964f,post romantic era,0.381,0.114,0.15,0.993
More Stars Than There Are in Heaven,Yo La Tengo,spotify:track:7AZPizSRSO4fZJV7NRPQQ9,https://p.scdn.co/mp3-preview/f6cf449fae69be33956882b724ccfea4f911355d?cid=044f973e13634ba3becdcb523d0f964f,dream pop,0.377,0.623,0.363,0.515
Conclusion & Dismissal,The English Standard of Coptic Hymnology,spotify:track:0uw5mK1QXvVTOME3lWQMvr,https://p.scdn.co/mp3-preview/007966e74df3630a8b750346c50a7aeb8e838e00?cid=044f973e13634ba3becdcb523d0f964f,coptic hymn,0.504,0.159,0.244,0.498
Let It Leave,Davefreeze,spotify:track:5w2EZvkdjgYXZPRRbACm5b,https://p.scdn.co/mp3-preview/db1db7baa65b34951526692c5fd19280285f5076?cid=044f973e13634ba3becdcb523d0f964f,metal catala,0.275,0.968,0.533,0.00312
Für immer,Funker Vogt,spotify:track:2LgHrhVAaaMH3OCMwf8sK9,https://p.scdn.co/mp3-preview/f3a2f34d64e2373e5fd038b160c8f037a1979295?cid=044f973e13634ba3becdcb523d0f964f,future funk,0.535,0.972,0.61,0.0203
"KHALI CARTEL 4 (feat. Katapilla, Shekina Karen, Achicho Software, Murasta, Ben C & Elisha Elai)",Khaligraph Jones,spotify:track:3iuSd61Vv4WDhBtHZZkwqp,https://p.scdn.co/mp3-preview/fe61499cfe8d503414da3a511b0ac931c512365e?cid=044f973e13634ba3becdcb523d0f964f,gengetone,0.645,0.716,0.508,0.0269
Only a Dream,Dance With the Dead,spotify:track:5kNaex3YNSzz12UNpbqa1O,https://p.scdn.co/mp3-preview/f1690b32ee6b29ba3208fe46cfeea61241684875?cid=044f973e13634ba3becdcb523d0f964f,darksynth,0.646,0.666,0.686,6.46e-06
I'm So Indie,Transit22,spotify:track:2ML2dDFxvwatCBEaolVdmp,https://p.scdn.co/mp3-preview/43abb99409845a0aeb9c7cf1670953a19c201bbd?cid=044f973e13634ba3becdcb523d0f964f,canadian indie,0.691,0.72,0.852,0.198
Used To,Sandro Cavazza,spotify:track:3fuwMZHsPi5mTyUof31NJq,,swedish house,0.66,0.451,0.409,0.275
Who Are You?,A&V,spotify:track:0nO3btimyHB0vvmPQemdwL,https://p.scdn.co/mp3-preview/b5ad0baca1dcc9d1ddbcc9afae6a736c7a76df74?cid=044f973e13634ba3becdcb523d0f964f,norwegian techno,0.682,0.765,0.0431,0.0118
